"113年02月05日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","1.56","111","27.25","1.06","112/3",
"1102","亞泥","5.83","111","13.75","0.83","112/3",
"1103","嘉泥","2.79","111","69.04","0.56","112/3",
"1104","環泥","6.20","111","8.67","0.89","112/3",
"1108","幸福","5.30","111","8.21","1.22","112/3",
"1109","信大","4.51","111","10.44","0.76","112/3",
"1110","東泥","0.55","111","38.94","1.17","112/3",
"1201","味全","1.29","111","66.43","1.27","112/3",
"1203","味王","1.96","111","32.62","2.37","112/3",
"1210","大成","2.58","111","13.23","2.15","112/3",
"1213","大飲","0.00","111","-","1.49","112/3",
"1215","卜蜂","3.65","111","13.91","3.07","112/3",
"1216","統一","4.31","111","21.50","3.28","112/3",
"1217","愛之味","3.36","111","36.06","0.87","112/3",
"1218","泰山","2.78","111","1.91","0.83","112/3",
"1219","福壽","4.21","111","25.33","1.41","112/3",
"1220","台榮","1.45","111","31.36","1.08","112/3",
"1225","福懋油","3.68","111","47.72","3.69","112/3",
"1227","佳格","3.43","111","28.96","1.97","112/3",
"1229","聯華","3.04","111","26.01","2.42","112/3",
"1231","聯華食","2.96","111","28.51","4.09","112/3",
"1232","大統益","4.26","111","20.09","4.45","112/3",
"1233","天仁","2.47","111","29.91","2.14","112/3",
"1234","黑松","4.52","111","16.60","0.87","112/3",
"1235","興泰","2.65","111","51.55","1.76","112/3",
"1236","宏亞","4.21","111","55.23","0.86","112/3",
"1256","鮮活果汁-KY","2.61","111","16.89","2.18","112/3",
"1301","台塑","5.80","111","160.89","1.32","112/3",
"1303","南亞","4.92","111","88.41","1.32","112/3",
"1304","台聚","3.87","111","29.67","0.81","112/3",
"1305","華夏","1.47","111","36.34","1.22","112/3",
"1307","三芳","3.07","111","15.26","1.14","112/3",
"1308","亞聚","5.47","111","22.86","0.95","112/3",
"1309","台達化","3.01","111","-","0.96","112/3",
"1310","台苯","1.41","111","-","1.18","112/3",
"1312","國喬","3.51","111","-","0.42","112/3",
